Ind,Target,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
3053,0,55.0,23,21,-20.546999999999997,0,0,2,0.159,22,-22.908,25,28,25,22,0.11199999999999999,0,0,0.92,0.955,23
3054,0,11.96,23,24,-11.213,1,0,1,0.225,21,-15.71,30,23,18,29,0.21,0,0,0.8,1.0235964376053963,1449
3055,1,0.0,18,10,-1.242,0,0,0,0.602,24,-1.006,21,18,3,16,0.6859999999999999,0,0,1.143,0.625,44
3056,1,0.0,0,28,-9.045,0,0,0,0.975,24,1.633,24,6,5,11,0.879,1,0,0.0,2.182,0
3057,0,15.0,23,5,10.860999999999999,1,0,1,0.165,4,-6.609,30,30,12,21,0.245,0,0,0.8,0.23800000000000002,823
3058,0,8.59,23,24,-14.024000000000001,0,0,2,0.596,11,-23.145,25,30,19,27,0.6809999999999999,0,0,0.96,0.889,40
3059,0,10.0,22,21,-5.724,0,0,1,0.691,19,-7.347,27,29,12,22,0.705,1,0,0.741,0.955,19
3060,0,15.0,23,24,-11.112,1,0,1,0.077,21,-13.845999999999998,30,30,14,29,0.294,0,0,0.8,0.828,1867
3061,1,30.0,23,8,-3.065,0,0,4,0.6609999999999999,7,-6.87,24,30,5,23,0.719934973637961,0,0,1.0,0.348,100
3062,1,10.0,16,3,-0.728,0,0,1,0.657,21,-11.950999999999999,15,12,22,16,0.634,0,0,1.6,0.188,52
3063,1,10.0,23,0,0.0,0,0,1,0.723,4,0.0,19,21,5,0,0.708,0,0,1.2109999999999999,0.0,7
3064,0,80.0,23,17,-19.1,0,0,2,0.08,9,0.951,30,30,20,10,0.10800000000000001,1,0,0.767,1.7,9
3065,0,30.0,20,21,-17.997,0,0,1,0.775,10,-6.75,15,22,17,26,0.649,0,0,0.2,0.8079999999999999,0
3066,0,5.0,6,14,-5.542999999999999,0,0,1,0.8170000000000001,22,0.546,30,8,3,1,0.8220000000000001,0,0,0.8,14.0,385
3067,1,25.0,23,9,3.362,0,0,4,0.588,4,-4.879,29,24,7,24,0.7,0,0,0.69,0.375,18
3068,0,10.0,23,0,9.373,0,0,1,0.23600000000000002,8,12.386,30,25,12,0,0.3,1,0,0.8,0.0,1167
3069,1,0.0,5,28,-12.208,0,0,0,0.39799999999999996,24,-3.7710000000000004,27,22,5,24,0.606,1,0,0.7839789159724365,1.0,0
3070,1,6.0,23,0,1.9,0,0,3,0.268,2,0.888,30,30,1,0,0.5489999999999999,0,0,0.8,1.0235964376053963,380
3071,1,13.0,19,21,-1.824,1,0,1,0.757,10,-7.232,25,11,10,30,0.677,0,0,0.96,0.7,33
3072,0,15.0,19,18,-1.485,1,0,1,0.138,12,-6.479,30,29,8,20,0.21100000000000002,0,0,0.8,0.9,42
3073,1,18.0,22,4,9.164,0,0,2,0.607,5,-2.551,22,24,7,10,0.465,0,0,0.909,0.4,5
